"","Publication","IC","Q1","NI","Exc"
"Chinese Academy of Sciences",144269,21.5,40.5,0.9,11.3
"CNRS",130977,49,61.9,1.4,18.7
"Russian Academy of Sciences",88907,35,24.2,0.5,5.9
"Harvard University",69995,34.4,79,2.4,35.7
"Inst_5",49987,65,72.2,1.8,29.3
"Inst_6",48947,26.3,56.7,1.2,17.9
"Inst_7",46819,35.3,84.3,2.3,40.1
"Inst_8",45771,41.1,65.7,1.8,24.3
"Inst_9",42087,49.4,68.8,1.4,21.9
"Inst_10",41399,29.8,74.5,2.1,30.1
"Inst_11",41197,18.6,26.8,0.8,6.6
"Inst_12",41059,25.3,70.3,2,25.6
"Inst_13",40196,24.8,39.4,0.8,9.9
"Inst_14",40140,15.7,28.6,0.7,7.4
"Inst_15",39428,26.2,71.7,2.1,28.6
"Inst_16",38096,28.5,80.7,2.6,36.5
"Inst_17",37994,29.3,70.7,2.1,28.9
"Inst_18",37928,42.5,63.8,1.3,17.7
"Inst_19",37885,29.5,69.8,2.3,29.1
"Inst_20",36902,16.3,77.8,2,30.6
"Inst_21",36013,24.6,49.6,1.6,21.1
"Inst_22",34813,24,57.6,1.2,17.9
"Inst_23",34484,14.5,28.2,0.7,6.5
"Inst_24",34177,23.6,73.7,2,29.4
"Inst_25",33902,29,72.7,2.1,27.9
"Inst_26",33610,46.4,72,1.9,28
"Inst_27",32900,49.8,69.4,1.9,26.7
"Inst_28",32354,51.6,71.8,2,27.5
"Inst_29",31943,37.4,67.9,2.1,26.6
"Inst_30",31789,26.3,68.1,1.8,24.2
"Inst_31",31165,32.6,73.4,2.1,29.3
"Inst_32",30883,25.6,69,1.8,24.1
"Inst_33",30670,21.7,52,1.1,16.4
"Inst_34",30184,23.7,72,1.9,27.8
"Inst_35",30106,26.6,61.5,1.5,19.1
"Inst_36",29851,51.4,68,1.9,26.3
"Inst_37",29796,23.9,60.9,1.3,18.5
"Inst_38",29569,43.7,63.2,1.7,21.7
"Inst_39",29480,24.9,53.5,1.1,13.8
"Inst_40",29172,34.6,64.3,2.4,26.9
"Inst_41",28921,29.9,70.5,1.8,25.5
"Inst_42",28418,28,59.3,1.7,18.6
"Inst_43",28119,24.3,42,1,12.5
"Inst_44",28015,30.3,69.8,1.7,23.5
"Inst_45",27509,10.4,17.9,0.6,3.1
"Inst_46",26953,30.1,74.6,1.9,30.4
"Inst_47",26725,25.3,55,1.1,14.6
"Inst_48",26517,26,63.9,1.7,21.3
"Inst_49",26159,26.5,80.6,2.3,35.5
"Inst_50",26035,11.5,20.2,0.5,3.7
